"","taxan","gene.ID","t","N","S","dnds","dN","ds","NdN","SdS","lnl","taxa"
"588","2","NC_006127_-_HCN1_CDS","0.208","1539.3","596.7","0.0262","0.0061","0.2323","9.4","138.6","-4460.306302","TGU"
"589","2","NC_006127_-_GHR_CDS","0.271","1310.8","492.2","0.3208","0.0573","0.1787","75.1","88","-4489.088159","TGU"
"590","2","NC_006127_-_NSA2_CDS","0.257","579.7","200.3","0.0255","0.0079","0.3108","4.6","62.3","-1599.08686","TGU"
"591","2","NC_006127_-_AVD_CDS","0.568","279.3","122.7","0.4641","0.1401","0.3018","39.1","37","-1610.491486","TGU"
"592","2","NC_006127_-_ISL1_CDS","0.076","738.9","302.1","0.0157","0.0013","0.0838","1","25.3","-1824.269263","TGU"
"593","2","NC_006127_-_HEXB_CDS","0.257","925.3","340.7","0.2186","0.0436","0.1996","40.4","68","-3195.826747","TGU"
"594","2","NC_006127_-_PAIP1_CDS","0.029","871.2","301.8","0.0919","0.0028","0.0302","2.4","9.1","-2694.809035","TGU"
"595","2","NC_006127_-_ARSB_CDS","0.227","610.2","229.8","0.0962","0.0212","0.2201","12.9","50.6","-1930.868356","TGU"
"596","2","NC_006127_-_IKBKAP_CDS","0.249","2834.9","1164.1","0.2211","0.041","0.1856","116.3","216","-10701.303185","TGU"
"597","2","NC_006127_-_DNAJB5_CDS","0.214","752.3","324.7","0.0418","0.009","0.2156","6.8","70","-2199.70104","TGU"
"598","2","NC_006127_-_CTSL2_CDS","0.11","631.2","211.8","0.0262","0.0035","0.1352","2.2","28.6","-1774.392564","TGU"
"599","2","NC_006127_-_HAUS1_CDS","0.067","627.4","221.6","0.6894","0.0199","0.0289","12.5","6.4","-2859.858525","TGU"
"600","2","NC_006127_-_EDIL3_CDS","0.377","1007.4","369.6","0.0508","0.0209","0.4113","21.1","152","-2976.067742","TGU"
"601","2","NC_006127_-_ACOT12_CDS","0.485","1109.4","420.6","0.1575","0.0655","0.4158","72.7","174.9","-4125.314352","TGU"
"602","2","NC_006127_-_LPAR1_CDS","0.128","784.4","322.6","0.0087","0.0012","0.1437","1","46.3","-2162.990852","TGU"
"603","2","NC_006127_-_CCNH_CDS","0.226","561.6","197.4","0.1888","0.0356","0.1884","20","37.2","-1787.568502","TGU"
"604","2","NC_006127_-_ITGA2_CDS","0.205","2587.6","904.4","0.2069","0.0342","0.1654","88.6","149.6","-8586.806858","TGU"
"605","2","NC_006127_-_MIER3_CDS","0.085","1216","431","0.1736","0.0126","0.0724","15.3","31.2","-3266.472132","TGU"
"606","2","NC_006127_-_GLIS3_CDS","0.325","922","386","0.8221","0.102","0.124","94","47.9","-3690.641278","TGU"
"607","2","NC_006127_-_NIM1K_CDS","0.09","685.8","244.2","0.1022","0.009","0.0883","6.2","21.6","-2255.101755","TGU"
"608","2","NC_006127_-_MLANA_CDS","0.027","197.1","78.9","1.8432","0.0102","0.0055","2","0.4","-817.806324","TGU"
"609","2","NC_006127_-_C6_CDS","0.262","2043.7","743.3","0.23","0.0461","0.2004","94.2","149","-7443.503911","TGU"
"610","2","NC_006127_-_HMGCS1_CDS","0.215","1130.4","435.6","0.0457","0.0105","0.2299","11.9","100.2","-3372.270859","TGU"
"611","2","NC_006127_-_ALDH1A1_CDS","0.147","1129.3","367.7","0.0809","0.0129","0.1598","14.6","58.8","-3263.3262","TGU"
"612","2","NC_006127_-_CARNMT1_CDS","0.122","684.7","242.3","0.0517","0.0071","0.1362","4.8","33","-1847.652947","TGU"
"613","2","NC_006127_-_CNTFR_CDS","0.381","480.2","203.8","0.0383","0.015","0.3913","7.2","79.7","-1979.549497","TGU"
"614","2","NC_006127_-_ADAMTS19_CDS","0.166","2577.1","953.9","0.0697","0.012","0.172","30.9","164.1","-7605.813701","TGU"
"615","2","NC_006127_-_BHMT_CDS","0.17","862.5","313.5","0.1551","0.0231","0.1489","19.9","46.7","-2575.205455","TGU"
"616","2","NC_006127_-_JMY_CDS","0.203","1653","621","0.0746","0.0154","0.2063","25.4","128.1","-5079.969046","TGU"
"617","2","NC_006127_-_NIPSNAP3A_CDS","0.251","428.4","168.6","0.2146","0.0411","0.1918","17.6","32.3","-1470.041218","TGU"
"618","2","NC_006127_-_HNRNPK_CDS","0.143","934","323","0.0313","0.0053","0.1696","5","54.8","-2375.909264","TGU"
"619","2","NC_006127_-_AUH_CDS","0.202","500.3","189.7","0.0443","0.0097","0.2198","4.9","41.7","-1392.885034","TGU"
"620","2","NC_006127_-_DYM_CDS","0.137","1438.8","568.2","0.0609","0.0085","0.14","12.3","79.6","-4284.247425","TGU"
"621","2","NC_006127_-_FAM219A_CDS","0.088","348.8","149.2","0.0671","0.0057","0.0847","2","12.6","-922.340452","TGU"
"622","2","NC_006127_-_LOC101748661_CDS","0.082","532.1","214.9","0.1922","0.0124","0.0647","6.6","13.9","-2477.819496","TGU"
"623","2","NC_006127_-_FANCC_CDS","0.02","1206.2","455.8","0.2967","0.004","0.0135","4.8","6.1","-4437.486035","TGU"
"624","2","NC_006127_-_PIK3C3_CDS","0.156","1952.6","693.4","0.0398","0.0071","0.1786","13.9","123.8","-5301.295476","TGU"
"625","2","NC_006127_-_ACO1_CDS","0.16","1942.8","724.2","0.0596","0.0101","0.1691","19.6","122.4","-6045.141642","TGU"
"626","2","NC_006127_-_ANXA1_CDS","0.193","776.3","249.7","0.2338","0.0359","0.1534","27.8","38.3","-2486.58764","TGU"
"627","2","NC_006127_-_GADD45B_CDS","0.323","295.2","127.8","0.0707","0.0216","0.3059","6.4","39.1","-1057.939335","TGU"
"628","2","NC_006127_-_KCMF1_CDS","0.115","704.9","285.1","0.0473","0.0056","0.119","4","33.9","-1759.454457","TGU"
"629","2","NC_006127_-_HSD17B4_CDS","0.215","1606.8","550.2","0.1387","0.0278","0.2002","44.6","110.1","-5228.423337","TGU"
"630","2","NC_006127_-_MPDZ_CDS","0.204","4480.8","1543.2","0.2194","0.0356","0.1622","159.4","250.3","-14368.771787","TGU"
"631","2","NC_006127_-_PTGER4_CDS","0.233","958.2","424.8","0.1334","0.0259","0.1943","24.8","82.6","-3267.732875","TGU"
"632","2","NC_006127_-_CORO2A_CDS","0.034","1121.4","441.6","0.0265","0.001","0.0378","1.1","16.7","-4081.752442","TGU"
"633","2","NC_006127_-_FANCG_CDS","0.424","1237.5","565.5","0.2608","0.0749","0.2872","92.7","162.4","-5435.410833","TGU"
"634","2","NC_006127_-_KCNN2_CDS","0.073","1055.1","375.9","0.0458","0.0037","0.0818","3.9","30.7","-2540.171149","TGU"
"635","2","NC_006127_-_AP3B1_CDS","0.179","1781.3","630.7","0.2129","0.0303","0.1422","53.9","89.7","-5587.145525","TGU"
"636","2","NC_006127_-_KCNV2_CDS","0.072","1065.6","470.4","0.226","0.0117","0.0516","12.4","24.3","-3633.487027","TGU"
"637","2","NC_006127_-_GOLPH3_CDS","0.144","476.7","192.3","1e-04","0","0.1672","0","32.2","-1291.172644","TGU"
"638","2","NC_006127_-_ITGA1_CDS","0.17","2601.8","881.2","0.1003","0.0174","0.1731","45.2","152.5","-8290.522167","TGU"
"639","2","NC_006127_-_ANKDD1B_CDS","0.307","977.1","342.9","0.2857","0.062","0.217","60.6","74.4","-3376.255007","TGU"
"640","2","NC_006127_-_ALDOB_CDS","0.178","772.8","319.2","0.0775","0.0133","0.1711","10.2","54.6","-2512.12693","TGU"
"641","2","NC_006127_-_ERCC8_CDS","0.206","752.6","270.4","0.1358","0.0256","0.1886","19.3","51","-2337.065639","TGU"
"642","2","NC_006127_-_DCP2_CDS","0.149","870.8","317.2","0.2533","0.0277","0.1095","24.2","34.7","-2555.628285","TGU"
"643","2","NC_006127_-_GPBP1_CDS","0.212","1028.8","378.2","0.4011","0.0503","0.1255","51.8","47.5","-3096.740056","TGU"
"644","2","NC_006127_-_COX7C_CDS","0.295","131.5","57.5","0.1547","0.037","0.239","4.9","13.7","-551.720659","TGU"
"645","2","NC_006127_-_KDM4C_CDS","0.265","1933.3","676.7","0.3419","0.0589","0.1723","113.9","116.6","-6267.576647","TGU"
"646","2","NC_006127_-_LOC107051909_CDS","0.047","810.3","338.7","0.2541","0.0084","0.0331","6.8","11.2","-3263.746899","TGU"
"647","2","NC_006127_-_ADAMTS6_CDS","0.119","2329.7","874.3","0.0907","0.0106","0.1167","24.7","102","-6009.942204","TGU"
"648","2","NC_006127_-_DDX4_CDS","0.341","1073.6","357.4","0.3401","0.0767","0.2254","82.3","80.6","-3852.39148","TGU"
"649","2","NC_006127_-_IDNK_CDS","0.063","310.2","106.8","0.1469","0.0084","0.0572","2.6","6.1","-1190.050496","TGU"
"650","2","NC_006127_-_FBP2_CDS","0.198","745.6","274.4","0.0339","0.0076","0.2249","5.7","61.7","-2206.819523","TGU"
"651","2","NC_006127_-_DNAJC25_CDS","0.225","586.6","196.4","0.0634","0.0159","0.2514","9.3","49.4","-1751.01883","TGU"
"652","2","NC_006127_-_CZH9ORF64_CDS","0.308","740.3","282.7","0.2131","0.0509","0.2387","37.7","67.5","-2749.710556","TGU"
"653","2","NC_006127_-_DENND4C_CDS","0.23","4195.5","1603.5","0.1904","0.0352","0.1849","147.7","296.5","-13878.525438","TGU"
"654","2","NC_006127_-_DMRT2_CDS","0.24","685","266","0.4912","0.062","0.1262","42.4","33.6","-2447.073783","TGU"
"655","2","NC_006127_-_CRHBP_CDS","0.269","690.8","275.2","0.0822","0.0214","0.2607","14.8","71.8","-2278.118967","TGU"
"656","2","NC_006127_-_PPIC_CDS","0.091","382.5","136.5","0.0791","0.0075","0.0942","2.9","12.9","-1101.674253","TGU"
"657","2","NC_006127_-_C7_CDS","0.246","1818.8","668.2","0.4103","0.0591","0.144","107.5","96.2","-6697.751761","TGU"
"658","2","NC_006127_-_ENC1_CDS","0.137","1252.4","514.6","0.0051","8e-04","0.1546","1","79.6","-3487.599368","TGU"
"659","2","NC_006127_-_SLC46A2_CDS","0.047","935.7","402.3","0.4765","0.0117","0.0245","10.9","9.9","-3674.254636","TGU"
"660","2","NC_006127_-_ADGRV1_CDS","0.241","12810.4","4622.6","0.304","0.05","0.1644","640","759.7","-43769.589657","TGU"
"661","2","NC_006127_-_CTC-487M23.8_CDS","0.143","305","88","1e-04","0","0.2125","0","18.7","-780.018209","TGU"
"662","2","NC_006127_-_AGGF1_CDS","0.036","1463.8","492.2","0.1695","0.0053","0.0314","7.8","15.4","-4869.47151","TGU"
"663","2","NC_006127_-_FBXO4_CDS","0.227","685.9","265.1","0.1946","0.0351","0.1806","24.1","47.9","-2384.90066","TGU"
"664","2","NC_006127_-_EPB41L4A_CDS","0.236","1368.5","476.5","0.063","0.0162","0.2576","22.2","122.7","-4077.206249","TGU"
"665","2","NC_006127_-_ARHGEF39_CDS","0.286","717.1","296.9","0.3139","0.0582","0.1854","41.7","55","-2752.984656","TGU"
"666","2","NC_006127_-_F2RL2_CDS","0.339","695.1","276.9","0.1391","0.0409","0.2941","28.4","81.4","-2564.922901","TGU"
"667","2","NC_006127_-_CTC-554D6.1_CDS","0.204","6247.7","2251.3","0.0879","0.0181","0.2065","113.4","464.9","-18095.452523","TGU"
"668","2","NC_006127_-_CER1_CDS","0.384","560.1","216.9","0.2941","0.0767","0.2607","43","56.5","-2228.0261","TGU"
"669","2","NC_006127_-_FCHO2_CDS","0.165","1767.5","593.5","0.0853","0.0149","0.1745","26.3","103.6","-4868.50529","TGU"
"670","2","NC_006127_-_ERBB2IP_CDS","0.189","3113.2","1119.8","0.1517","0.0255","0.1678","79.3","187.9","-9541.206989","TGU"
"671","2","NC_006127_-_RNF38_CDS","0.15","621.9","269.1","0.1075","0.0142","0.1322","8.8","35.6","-2618.893661","TGU"
"672","2","NC_006127_-_MTX3_CDS","0.159","607.3","223.7","0.4017","0.0378","0.0941","23","21.1","-1975.155993","TGU"
"673","2","NC_006127_-_MARVELD2_CDS","0.3","987.1","377.9","0.1025","0.0292","0.2851","28.8","107.8","-3639.518504","TGU"
"674","2","NC_006127_-_GBA2_CDS","0.328","1641.7","719.3","0.1277","0.0355","0.2778","58.2","199.8","-6064.304248","TGU"
"675","2","NC_006127_-_LOC407092_CDS","0.173","2349.2","989.8","0.2068","0.027","0.1307","63.5","129.3","-6854.126451","TGU"
"676","2","NC_006127_-_KIAA1328_CDS","0.451","767.2","306.8","0.4386","0.1101","0.251","84.4","77","-3229.606784","TGU"
"677","2","NC_006127_-_ERCC6L2_CDS","0.296","3227.8","1089.2","0.391","0.0708","0.181","228.4","197.1","-12000.756357","TGU"
"678","2","NC_006127_-_RORB_CDS","0.12","987","387","0.0394","0.0051","0.1295","5","50.1","-2486.503559","TGU"
"679","2","NC_006127_-_AGXT2_CDS","0.243","1074.1","398.9","0.2449","0.0441","0.1799","47.3","71.8","-3606.63254","TGU"
"680","2","NC_006127_-_GCNT1_CDS","0.272","941.3","324.7","0.0723","0.0211","0.2917","19.8","94.7","-2983.912364","TGU"
"681","2","NC_006127_-_APBA1_CDS","0.147","1786.2","682.8","0.0944","0.0135","0.1426","24","97.4","-5136.889874","TGU"
"682","2","NC_006127_-_FER_CDS","0.154","1867.6","598.4","0.0304","0.0059","0.1936","11","115.9","-4892.226719","TGU"
"683","2","NC_006127_-_IL31RA_CDS","0.486","1592.2","513.8","0.6189","0.1408","0.2275","224.2","116.9","-6549.394647","TGU"
"684","2","NC_006127_-_MYO3AL_CDS","0.157","1056.9","434.1","0.1507","0.0198","0.1316","21","57.1","-3605.313987","TGU"
"685","2","NC_006127_-_MCC_CDS","0.242","1792.2","625.8","0.0188","0.0056","0.2958","10","185.1","-4930.483513","TGU"
"686","2","NC_006127_-_GCNT4_CDS","0.228","911","328","0.252","0.0426","0.1689","38.8","55.4","-3056.073223","TGU"
"687","2","NC_006127_-_DMRT1_CDS","0","182.6","75.4","1e-04","0","0","0","0","-717.627483","TGU"
"688","2","NC_006127_-_PHF24_CDS","0.463","592.1","259.9","0.1564","0.0583","0.3729","34.5","96.9","-2183.887552","TGU"
"689","2","NC_006127_-_NUP155_CDS","0.185","2904.8","1091.2","0.0636","0.0123","0.193","35.6","210.5","-8570.529674","TGU"
"690","2","NC_006127_-_ANKRD32_CDS","0.41","1989.5","692.5","0.5139","0.1099","0.2139","218.7","148.1","-7483.537064","TGU"
"691","2","NC_006127_-_CELF4_CDS","0.056","991.2","424.8","1e-04","0","0.0618","0","26.3","-2425.889013","TGU"
"692","2","NC_006127_-_GDA_CDS","0.243","1000.6","349.4","0.2279","0.0431","0.1891","43.1","66.1","-3333.561297","TGU"
"693","2","NC_006127_-_FKTN_CDS","0.163","1006.7","376.3","0.0806","0.0132","0.1639","13.3","61.7","-3054.398785","TGU"
"694","2","NC_006127_-_KIF2A_CDS","0.139","1525.6","511.4","0.1929","0.0226","0.1172","34.5","59.9","-3962.528917","TGU"
"695","2","NC_006127_-_IL7R_CDS","0.44","958","365","0.3101","0.0909","0.2932","87.1","107","-4136.402858","TGU"
"696","2","NC_006127_-_NAA35_CDS","0.172","1633","542","0.0248","0.0053","0.214","8.7","116","-4154.634481","TGU"
"697","2","NC_006127_-_MED18_CDS","0.229","444.8","179.2","0.0079","0.0021","0.2608","0.9","46.7","-1319.505238","TGU"
"698","2","NC_006127_-_TAL2_CDS","0.055","244.4","106.6","0.3632","0.012","0.0331","2.9","3.5","-790.698334","TGU"
"699","2","NC_006127_-_CHRNB3_CDS","0.189","915.7","344.3","0.0843","0.0159","0.1885","14.5","64.9","-2891.903884","TGU"
"700","2","NC_006127_-_CCBE1_CDS","0.196","712.2","283.8","0.1214","0.0214","0.1761","15.2","50","-2265.202844","TGU"
"701","2","NC_006127_-_DMRT3_CDS","0.216","687.1","278.9","0.1126","0.022","0.1956","15.1","54.6","-2135.9819","TGU"
"702","2","NC_006127_-_NADK2_CDS","0.193","597.5","200.5","0.0508","0.0113","0.2226","6.8","44.6","-1694.332061","TGU"
"703","2","NC_006127_-_HDHD2_CDS","0.51","552.1","224.9","0.0799","0.0393","0.4914","21.7","110.5","-1958.890839","TGU"
"704","2","NC_006127_-_TARS_CDS","0.219","1533.1","533.9","0.0475","0.0118","0.2484","18.1","132.6","-4488.523216","TGU"
"705","2","NC_006127_-_CHSY3_CDS","0.135","1517.9","555.1","0.1079","0.014","0.1301","21.3","72.2","-4515.756761","TGU"
"706","2","NC_006127_-_LIFR_CDS","0.273","2380.4","853.6","0.3662","0.0625","0.1706","148.7","145.6","-8958.382001","TGU"
"707","2","NC_006127_-_MEGF10_CDS","0.041","2395.1","994.9","0.152","0.0052","0.0341","12.4","33.9","-7522.880122","TGU"
"708","2","NC_006127_-_NDUFAF2_CDS","0.26","188.1","63.9","0.076","0.0212","0.2797","4","17.9","-626.30813","TGU"
"709","2","NC_006127_-_F2R_CDS","0.033","832.5","322.5","0.4502","0.0083","0.0185","6.9","6","-3319.048493","TGU"
"710","2","NC_006127_-_CZH5ORF42_CDS","0.332","2805.8","1022.2","0.4267","0.0815","0.1911","228.8","195.4","-10427.007478","TGU"
"711","2","NC_006127_-_FOXD1_CDS","0.126","302","133","1e-04","0","0.1375","0","18.3","-1119.520879","TGU"
"712","2","NC_006127_-_LINGO2_CDS","0.187","1276.1","529.9","0.1408","0.0223","0.1586","28.5","84.1","-3789.135377","TGU"
"713","2","NC_006127_-_SNX24_CDS","0.065","311.5","108.5","0.1003","0.0065","0.0649","2","7","-926.127152","TGU"
"714","2","NC_006127_-_NDUFS4_CDS","0.215","372.2","140.8","0.2716","0.0412","0.1518","15.3","21.4","-1165.910251","TGU"
"715","2","NC_006127_-_MELK_CDS","0.291","1094.5","363.5","0.1961","0.048","0.2445","52.5","88.9","-5431.409933","TGU"
"716","2","NC_006127_-_GIN1_CDS","0.268","1093.8","391.2","0.3015","0.0554","0.1838","60.6","71.9","-3739.457972","TGU"
"717","2","NC_006127_-_CCDC171_CDS","0.371","2618.3","912.7","0.6895","0.1108","0.1607","290.2","146.7","-9393.46885","TGU"
"718","2","NC_006127_-_LMBRD2_CDS","0.193","1505.6","558.4","0.0313","0.0069","0.2193","10.3","122.5","-4246.657205","TGU"
"719","2","NC_006127_-_FAM151B_CDS","0.899","264.7","98.3","0.2665","0.1718","0.6445","45.5","63.3","-1192.905958","TGU"
"720","2","NC_006127_-_NFIB_CDS","0.106","489","213","0.0386","0.0041","0.1065","2","22.7","-1214.304914","TGU"
"721","2","NC_006127_-_CZH5ORF63_CDS","0.206","245.4","84.6","0.1278","0.025","0.1955","6.1","16.5","-864.587725","TGU"
"722","2","NC_006127_-_GLDC_CDS","0.122","2052.1","776.9","0.0552","0.0071","0.1292","14.6","100.4","-6146.933712","TGU"
"723","2","NC_006127_-_B4GALT1_CDS","0.044","573.6","209.4","0.0712","0.0032","0.0456","1.9","9.6","-1844.107005","TGU"
"724","2","NC_006127_-_PJA2_CDS","0.524","1409.8","516.2","1.0584","0.1774","0.1676","250.1","86.5","-5533.963429","TGU"
"725","2","NC_006127_-_PAM_CDS","0.204","2140.5","769.5","0.2143","0.0346","0.1614","74","124.2","-6657.553303","TGU"
"726","2","NC_006127_-_DNAJC21_CDS","0.192","1121.5","369.5","0.2807","0.0391","0.1394","43.9","51.5","-3762.489071","TGU"
"727","2","NC_006127_-_RUSC2_CDS","0.086","2776.2","1255.8","0.2007","0.0128","0.0637","35.5","80","-10642.220887","TGU"
"728","2","NC_006127_-_TESK1_CDS","0.309","904.1","415.9","0.3202","0.0618","0.193","55.9","80.3","-3515.574334","TGU"
"729","2","NC_006127_-_LPL_CDS","0.194","982.2","385.8","0.158","0.0258","0.1635","25.4","63.1","-3362.738561","TGU"
"730","2","NC_006127_-_CD274_CDS","0.283","613","212","0.8651","0.0905","0.1047","55.5","22.2","-2465.067054","TGU"
"731","2","NC_006127_-_CZH18ORF25_CDS","0.315","854.4","360.6","0.1356","0.0363","0.2675","31","96.5","-2775.365866","TGU"
"732","2","NC_006127_-_JAK2_CDS","0.131","2497","887","0.0886","0.0118","0.1336","29.6","118.5","-7158.402021","TGU"
"733","2","NC_006127_-_RGS7BP_CDS","0.17","362","145","0.0664","0.0113","0.1699","4.1","24.6","-1012.73122","TGU"
"734","2","NC_006127_-_ABHD17B_CDS","0.083","640.9","223.1","0.031","0.0031","0.0985","2","22","-1603.894664","TGU"
"735","2","NC_006127_-_CD72AGL_CDS","0.58","443.4","192.6","0.4628","0.1431","0.3091","63.4","59.5","-2527.722089","TGU"
"736","2","NC_006127_-_LOC100858919_CDS","0.383","1347.2","575.8","0.2805","0.0723","0.2578","97.4","148.4","-5596.736137","TGU"
"737","2","NC_006127_-_FAM214B_CDS","0.245","931.7","433.3","0.1647","0.0312","0.1896","29.1","82.2","-3324.367717","TGU"
"738","2","NC_006127_-_RXFP3_CDS","0.308","747.1","347.9","0.0947","0.0254","0.2683","19","93.3","-2889.917868","TGU"
"739","2","NC_006127_-_FRMPD1_CDS","0.037","1348.7","535.3","0.2803","0.0071","0.0254","9.6","13.6","-5826.335045","TGU"
"740","2","NC_006127_-_ACAA2_CDS","0.446","848.1","342.9","0.0549","0.0249","0.4544","21.2","155.8","-2872.396026","TGU"
"741","2","NC_006127_-_CD72_CDS","0.321","427.5","172.5","0.2648","0.0596","0.225","25.5","38.8","-2312.443766","TGU"
"742","2","NC_006127_-_LOC100859442_CDS","1.014","404.7","141.3","0.1611","0.1439","0.8934","58.2","126.3","-1633.284763","TGU"
"743","2","NC_006127_-_BNC2_CDS","0.1","2192.7","831.3","0.0275","0.0031","0.1131","6.8","94.1","-5830.643911","TGU"
"744","2","NC_006127_-_NLN_CDS","0.19","1516.2","520.8","0.0869","0.0172","0.198","26.1","103.1","-4446.800497","TGU"
"745","2","NC_006127_-_MOCS2_CDS","0.204","350.7","114.3","0.1489","0.0283","0.19","9.9","21.7","-1108.432842","TGU"
"746","2","NC_006127_-_TJP2_CDS","0.185","2534.4","921.6","0.1212","0.021","0.1737","53.3","160","-8111.369395","TGU"
"747","2","NC_006127_-_FSD1L_CDS","0.38","1080","396","0.224","0.0656","0.2928","70.8","116","-3771.062894","TGU"
"748","2","NC_006127_-_CDC14B_CDS","0.207","1002","357","0.3564","0.0467","0.131","46.8","46.8","-3098.743156","TGU"
"749","2","NC_006127_-_PCSK1_CDS","0.227","1040.7","396.3","0.0262","0.0067","0.2564","7","101.6","-2931.468416","TGU"
"750","2","NC_006127_-_NMRK1_CDS","0.234","467.6","141.4","0.4562","0.061","0.1338","28.5","18.9","-1538.523564","TGU"
"751","2","NC_006127_-_RICTOR_CDS","0.144","3661.1","1342.9","0.0528","0.0082","0.1562","30.2","209.8","-10020.739642","TGU"
"752","2","NC_006127_-_TLE1_CDS","0.1","1636.2","649.8","0.051","0.0053","0.1036","8.6","67.4","-4223.688575","TGU"
"753","2","NC_006127_-_FST_CDS","0.164","751.6","277.4","0.0416","0.0076","0.1819","5.7","50.5","-1983.100339","TGU"
"754","2","NC_006127_-_MRPL50_CDS","0.071","232.4","106.6","999","0.0346","0","8","0","-1149.709801","TGU"
"755","2","NC_006127_-_LYRM7_CDS","0.187","242.1","75.9","0.182","0.0301","0.1655","7.3","12.6","-896.213244","TGU"
"756","2","NC_006127_-_EFNA5_CDS","0.08","313.4","130.6","1e-04","0","0.0911","0","11.9","-806.132808","TGU"
"757","2","NC_006127_-_HSDL2_CDS","0.267","918.8","320.2","0.1279","0.0323","0.2523","29.6","80.8","-3134.208291","TGU"
"758","2","NC_006127_-_TLE4_CDS","0.137","1497","636","0.018","0.0027","0.1474","4","93.7","-3954.596031","TGU"
"759","2","NC_006127_-_MRPS27_CDS","0.052","905.8","315.2","0.5744","0.0146","0.0253","13.2","8","-3203.727942","TGU"
"760","2","NC_006127_-_LOC101750393_CDS","0.572","1400.9","657.1","0.2739","0.1033","0.377","144.7","247.7","-6572.998361","TGU"
"761","2","NC_006127_-_C1QTNF3_CDS","0.173","545.6","192.4","0.0166","0.0035","0.2112","1.9","40.6","-1496.905845","TGU"
"762","2","NC_006127_-_NOL6_CDS","0.244","2342.8","1038.2","0.2553","0.0429","0.1681","100.5","174.5","-8924.603352","TGU"
"763","2","NC_006127_-_HSPB3_CDS","0.249","291.1","113.9","0.2847","0.0486","0.1708","14.2","19.5","-1007.35942","TGU"
"764","2","NC_006127_-_TMC1_CDS","0.152","1743.9","581.1","0.0565","0.0098","0.1739","17.1","101","-5157.294145","TGU"
"765","2","NC_006127_-_C5ORF30_CDS","0","352.6","130.4","46.7992","0","0","0","0","-1137.442781","TGU"
"766","2","NC_006127_-_POLR1E_CDS","0.82","860","328","0.1313","0.0966","0.7361","83.1","241.5","-3503.572709","TGU"
"767","2","NC_006127_-_PPAP2A_CDS","0.129","530.8","189.2","0.3649","0.0295","0.0808","15.7","15.3","-1677.50977","TGU"
"768","2","NC_006127_-_NPR1_CDS","0.208","1526.3","555.7","0.2662","0.04","0.1502","61","83.5","-4901.676039","TGU"
"769","2","NC_006127_-_HTR1A_CDS","0.142","576.2","260.8","0.0474","0.0065","0.1376","3.8","35.9","-1812.290774","TGU"
"770","2","NC_006127_-_RAD1_CDS","0.161","605.5","237.5","0.1419","0.0198","0.1397","12","33.2","-2053.625252","TGU"
"771","2","NC_006127_-_BDP1L_CDS","0.426","4500.6","1547.4","0.6328","0.1236","0.1954","556.4","302.3","-19087.556803","TGU"
"772","2","NC_006127_-_FYB_CDS","0.424","1792.9","607.1","0.5328","0.1156","0.217","207.3","131.7","-7000.439594","TGU"
"773","2","NC_006127_-_KIAA0020_CDS","0.192","1372.6","457.4","0.1428","0.0256","0.1791","35.1","81.9","-4478.612806","TGU"
"774","2","NC_006127_-_CENPK_CDS","0.028","611.9","174.1","0.5875","0.0082","0.0139","5","2.4","-2223.443415","TGU"
"775","2","NC_006127_-_ADAMTSL1_CDS","0.268","3099.1","1265.9","0.2408","0.0466","0.1937","144.5","245.2","-10763.708286","TGU"
"776","2","NC_006127_-_GRAMD3_CDS","0.201","771.6","272.4","0.2052","0.0333","0.1623","25.7","44.2","-2678.608591","TGU"
"777","2","NC_006127_-_MAN2A1_CDS","0.207","2444.6","873.4","0.1357","0.0258","0.1903","63.1","166.2","-7430.601202","TGU"
"778","2","NC_006127_-_LOC107051935_CDS","0.177","1309.5","430.5","0.1133","0.02","0.1769","26.2","76.1","-3785.307106","TGU"
"779","2","NC_006127_-_KIAA0825_CDS","0.235","2134.6","769.4","0.327","0.0508","0.1553","108.4","119.5","-7039.627204","TGU"
"780","2","NC_006127_-_SETBP1_CDS","0.157","2415.3","908.7","0.2344","0.0276","0.1178","66.7","107.1","-7398.42514","TGU"
"781","2","NC_006127_-_DEPDC1B_CDS","0.253","1121.2","417.8","0.1545","0.0339","0.2195","38","91.7","-3773.991932","TGU"
"782","2","NC_006127_-_GRHPR_CDS","0.723","486.8","209.2","0.0443","0.0322","0.7265","15.7","152","-1831.797608","TGU"
"783","2","NC_006127_-_GAK_CDS","0.165","2632.2","985.8","0.1677","0.0234","0.1398","61.7","137.8","-8418.997046","TGU"
"784","2","NC_006127_-_CEP78_CDS","0.321","1634.7","570.3","0.4561","0.0818","0.1793","133.7","102.3","-5970.690312","TGU"
"785","2","NC_006127_-_KIAA1024L_CDS","0.228","422.5","162.5","0.3117","0.0472","0.1514","19.9","24.6","-1445.54414","TGU"
"786","2","NC_006127_-_NRG1_CDS","0.192","977.9","390.1","0.1912","0.0291","0.152","28.4","59.3","-3050.919287","TGU"
"787","2","NC_006127_-_MTMR12_CDS","0.209","1531.4","556.6","0.0878","0.0185","0.211","28.4","117.4","-4729.072646","TGU"
"788","2","NC_006127_-_GRIN3A_CDS","0.259","1908.7","734.3","0.0484","0.0134","0.2765","25.5","203","-5753.91918","TGU"
"789","2","NC_006127_-_MARCH3_CDS","0.378","493.4","217.6","0.1323","0.0418","0.3163","20.6","68.8","-1637.407309","TGU"
